username,repo_name,stars,repo_url
flutter,flutter,147000,https://github.com/flutter/flutter
mui,material-ui,83000,https://github.com/mui/material-ui
ionic-team,ionic-framework,48300,https://github.com/ionic-team/ionic-framework
google,material-design-icons,46900,https://github.com/google/material-design-icons
Solido,awesome-flutter,44200,https://github.com/Solido/awesome-flutter
Dogfalo,materialize,38700,https://github.com/Dogfalo/materialize
vuetifyjs,vuetify,36000,https://github.com/vuetifyjs/vuetify
google,material-design-lite,32100,https://github.com/google/material-design-lite
angular,components,23200,https://github.com/angular/components
mdbootstrap,mdb-ui-kit,22900,https://github.com/mdbootstrap/mdb-ui-kit
quasarframework,quasar,22500,https://github.com/quasarframework/quasar
HeroTransitions,Hero,21200,https://github.com/HeroTransitions/Hero
afollestad,material-dialogs,19500,https://github.com/afollestad/material-dialogs
iampawan,FlutterExampleApps,17800,https://github.com/iampawan/FlutterExampleApps
framework7io,framework7,17000,https://github.com/framework7io/framework7
angular,material,16700,https://github.com/angular/material
material-components,material-components-web,16500,https://github.com/material-components/material-components-web
material-components,material-components-android,14300,https://github.com/material-components/material-components-android
froala,design-blocks,13400,https://github.com/froala/design-blocks
MaterialDesignInXAML,MaterialDesignInXamlToolkit,13000,https://github.com/MaterialDesignInXAML/MaterialDesignInXamlToolkit
