username,repo_name,stars,repo_url
bregman-arie,devops-exercises,39700,https://github.com/bregman-arie/devops-exercises
pulumi,pulumi,15100,https://github.com/pulumi/pulumi
microsoft,recommenders,15000,https://github.com/microsoft/recommenders
ramitsurana,awesome-kubernetes,13600,https://github.com/ramitsurana/awesome-kubernetes
Azure,azure-quickstart-templates,12600,https://github.com/Azure/azure-quickstart-templates
mozilla,sops,12000,https://github.com/mozilla/sops
caprover,caprover,9900,https://github.com/caprover/caprover
google,go-cloud,8900,https://github.com/google/go-cloud
microsoft,computervision-recipes,8800,https://github.com/microsoft/computervision-recipes
infracost,infracost,8600,https://github.com/infracost/infracost
prowler-cloud,prowler,7600,https://github.com/prowler-cloud/prowler
microsoft,azuredatastudio,7000,https://github.com/microsoft/azuredatastudio
node-formidable,formidable,6500,https://github.com/node-formidable/formidable
midwayjs,midway,6400,https://github.com/midwayjs/midway
thangchung,clean-code-dotnet,5800,https://github.com/thangchung/clean-code-dotnet
aquasecurity,tfsec,5600,https://github.com/aquasecurity/tfsec
budtmo,docker-android,5400,https://github.com/budtmo/docker-android
bridgecrewio,checkov,5300,https://github.com/bridgecrewio/checkov
nccgroup,ScoutSuite,5100,https://github.com/nccgroup/ScoutSuite
turbot,steampipe,4800,https://github.com/turbot/steampipe
